name,email,phone,dob
John Doe,john@example.com,9991112222,1998-05-10
john doe,JOHN@example.com,9991112222,1998-05-10
Alicia Keys,alicia@music.com,8887776666,1990-11-01
darrell arnold,ikelly@yahoo.com,abc1234567,1998/05/10
MatthewDecker,mirwin@yahoo..com,3219824186,1991-08-08
AMANDA BAILEY,ANGEL91@BAKER-BENNETT.COM,5126238440,1986-03-12
DONNA JACKSON,,abc1234567,10-05-1998
SherryWalker,ZACHARY77@YAHOO.COM,9525652026974,10-05-1998
Joseph Davis,krystal00@gmail..com,3242447491,10-05-1998
Joanna Gonzalez,mike24@yahoo.com,5003988747605,
susan ward,jonesgarrett@ perkins.com,abc1234567,
Tiffany Sandoval,derek02@ stein-campbell.com,2945286,1980-03-12
Kayla Livingston Jr.,jeremybates@hotmail..com,3390237324,notadate
Blake Hood MD,derrickdalton@yahoo.com,6752844273914,
TRACI KELLY,MICHELLETAYLOR@GMAIL.COM,abc1234567,notadate
Don Henderson,eandrews@gmail..com,9497770624799,10-05-1998
KENT DIAZ,josephwilliams@hotmail..com,,notadate
PATTY WATSON,browndawn@ rice.biz,,1988-12-04
Brenda Hughes Jr.,,abc1234567,
IsaiahFord,AGREEN@POTTER-BROWN.NET,3053739,1998/05/10
Amy Wright Jr.,gregorydonald@schaefer-reed.org,5933534455,1991-09-13
TheresaWhite,xjones@ gmail.com,,1998/05/10
Mr. William Christensen,lawrencewood@dixon..com,1632300892177,1998/05/10
Kimberly Martin,,9824590,1998/05/10
Kristine Franklin Jr.,stevensondavid@thompson.com,1372440846,2012-10-18
Jonathan Ferguson Jr.,danielshort@gmail..com,abc1234567,10-05-1998
DAVID SMITH,wendyanderson@ wells.com,6942608295374,10-05-1998
Andrea Rogers Jr.,JACQUELINE66@ANDERSON.ORG,abc1234567,1998/05/10
Michelle Sparks Jr.,jonesjohn@ gmail.com,abc1234567,2007-10-01
Kevin Proctor,joshua69@gross.com,9688816,1998/05/10
ELIZABETH KLINE,ulopez@gmail..com,9871569,10-05-1998
ERIN CAMPBELL,BENJAMIN53@GMAIL.COM,7360955537,notadate
EdwardHill,,abc1234567,1991-11-14
AshleyWilson,samantha03@hotmail.com,8893228,
mrs. amy hernandez dds,johnsonjennifer@gmail..com,5781897,1998/05/10
AngelaHayes,oblack@yahoo.com,,10-05-1998
tammy powell,joshuapatel@ schroeder-johnson.com,abc1234567,
Jacob Lyons Jr.,,0367446800,10-05-1998
jacob dennis,danacook@gmail.com,9677812838678,10-05-1998
Nicholas Knight Jr.,,4663500,10-05-1998
PhilipAnderson,,5771779,notadate
ChristinaMorris,,1288811,notadate
Tina Gonzalez Jr.,ANTHONYWEBB@GMAIL.COM,,10-05-1998
George Burke Jr.,tabithasmith@fuentes..info,9014223130,notadate
EDWARD GROSS,jpayne@page-hill..biz,abc1234567,10-05-1998
Bryan Carroll,youngcynthia@hotmail..com,,2009-04-23
meagan espinoza,BLEVINSRACHEL@GMAIL.COM,2887470,notadate
george lee,howard20@ yahoo.com,0759051280,10-05-1998
KellyPerez,,4283792,1986-09-24
BENJAMIN BRIGGS,chasekaren@ hotmail.com,abc1234567,2013-10-14
Ryan Washington,HMCLAUGHLIN@WILLIS.COM,9742607853174,notadate
Joseph Bell Jr.,jessicamcdaniel@vincent.com,1550533116,notadate
Samantha Lawrence,matthew24@gmail.com,abc1234567,notadate
Donna Tucker Jr.,,9962749708,10-05-1998
Vernon Rodriguez Jr.,nallen@ hotmail.com,2473018,10-05-1998
Robert Farley Jr.,williamscharles@ leonard.net,5547390302211,
nicholas morgan,darlenecampbell@ gmail.com,7183135381156,10-05-1998
Angela Allen Jr.,,abc1234567,1978-03-26
